epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.961,1.14896,4.19242,1.2949,0.31682,0.20629,0.18985,0.14947,0.88776,2.88644,1.15891,0.0676226,0.000327044,0.000327044
2,567.149,1.00075,2.87249,1.23868,0.47615,0.45929,0.39632,0.32221,0.7742,2.20328,1.09931,0.0344906,0.000528315,0.000528315
3,801.176,0.93836,2.35226,1.21376,0.72445,0.41952,0.51077,0.4056,0.75735,2.00005,1.0769,0.0012252,0.000596266,0.000596266
4,1038.96,0.88739,2.05328,1.16823,0.58007,0.5486,0.53396,0.42567,0.72252,1.8782,1.05804,0.00040006,0.00040006,0.00040006
5,1245.88,0.8254,1.93694,1.13433,0.67963,0.5377,0.59331,0.48251,0.69579,1.71703,1.03612,0.00020008,0.00020008,0.00020008
