epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.49,0.97956,2.96815,1.18503,0.75363,0.58237,0.63819,0.5054,0.83384,1.55474,1.09412,0.070566,0.00327044,0.00327044
2,493.233,0.75356,1.10977,1.02793,0.75159,0.5975,0.6343,0.52378,0.88995,1.46471,1.1151,0.0399063,0.00594406,0.00594406
3,695.327,0.74278,0.96999,1.00601,0.75204,0.67604,0.71124,0.55788,0.91778,1.24391,1.14987,0.0085806,0.00795167,0.00795167
4,896.727,0.72849,0.83335,0.96458,0.89554,0.73495,0.80004,0.62912,0.80168,1.05539,1.02467,0.007003,0.007003,0.007003
5,1093.73,0.67587,0.70382,0.93756,0.8381,0.78462,0.82507,0.67956,0.72116,0.85867,0.98376,0.006004,0.006004,0.006004
6,1308.9,0.66243,0.61742,0.93792,0.86277,0.80552,0.86217,0.72108,0.65924,0.70567,0.93243,0.005005,0.005005,0.005005
7,1601.65,0.62592,0.58098,0.91998,0.94782,0.81141,0.87425,0.73352,0.6482,0.65244,0.95079,0.004006,0.004006,0.004006
8,1827.84,0.5593,0.49488,0.89123,0.92853,0.86219,0.90927,0.78574,0.57033,0.54449,0.90733,0.003007,0.003007,0.003007
9,2100.09,0.51222,0.44981,0.86934,0.97126,0.82022,0.89694,0.80121,0.51282,0.55765,0.87806,0.002008,0.002008,0.002008
10,2317.25,0.47843,0.40267,0.86185,0.9528,0.84987,0.91139,0.81846,0.47963,0.48311,0.86348,0.001009,0.001009,0.001009
