epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.555,1.69313,2.6424,1.67305,0.00058,0.12342,0.00035,0.00011,3.60922,76663.7,34.9665,0.070566,0.00327044,0.00327044
2,567.99,1.99205,2.57525,1.90205,0.00165,0.32584,0.00123,0.00047,3.02944,2948.02,4.9662,0.0392454,0.00528315,0.00528315
3,970.453,1.81658,2.04534,1.77927,0.09816,0.48032,0.06163,0.02934,2.3681,33.9034,2.45701,0.00659159,0.00596266,0.00596266
4,1313.22,1.61718,1.76216,1.63499,0.5411,0.46034,0.47169,0.27656,1.57634,2.97536,1.71777,0.0040006,0.0040006,0.0040006
5,1769.11,1.54437,1.58757,1.58286,0.63509,0.62757,0.64518,0.40583,1.42008,1.66656,1.55882,0.0020008,0.0020008,0.0020008
