epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.304,0.85397,1.76152,1.08264,0.74173,0.65004,0.75026,0.58988,0.7741,1.30891,0.99277,0.0673283,3.27044e-05,3.27044e-05
2,411.691,0.66449,0.92488,0.94426,0.91956,0.81199,0.88368,0.76661,0.5434,0.79955,0.86882,0.0340217,5.9434e-05,5.9434e-05
3,662.513,0.59306,0.68423,0.91013,0.94062,0.82202,0.8947,0.79884,0.49673,0.72864,0.85629,0.000708428,7.94971e-05,7.94971e-05
4,892.367,0.51541,0.59325,0.87425,0.96058,0.83323,0.9122,0.80836,0.46827,0.62057,0.84329,7.00003e-05,7.00003e-05,7.00003e-05
5,1098.16,0.48702,0.51222,0.85729,0.97419,0.86781,0.91691,0.83301,0.43272,0.49577,0.83131,6.00004e-05,6.00004e-05,6.00004e-05
6,1375.8,0.45447,0.45055,0.84452,0.9671,0.8804,0.93022,0.83998,0.43372,0.45416,0.83574,5.00005e-05,5.00005e-05,5.00005e-05
7,1662.76,0.44494,0.41465,0.83759,0.99953,0.85214,0.92367,0.84359,0.412,0.44069,0.83284,4.00006e-05,4.00006e-05,4.00006e-05
8,2390.08,0.41985,0.38358,0.84077,0.96106,0.89561,0.93532,0.86337,0.38954,0.40328,0.82587,3.00007e-05,3.00007e-05,3.00007e-05
9,3129,0.40414,0.36598,0.83506,0.98304,0.88714,0.93119,0.86626,0.36141,0.38375,0.81468,2.00008e-05,2.00008e-05,2.00008e-05
10,3661.43,0.38702,0.34714,0.82812,0.97143,0.89181,0.93105,0.86578,0.36193,0.38928,0.81672,1.00009e-05,1.00009e-05,1.00009e-05
