epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.577,0.98389,2.17335,1.12389,0.44904,0.53384,0.47447,0.29292,1.28478,5.20151,1.38237,0.0676226,0.000327044,0.000327044
2,464.131,1.19916,2.11294,1.20974,0.70756,0.30795,0.39226,0.26361,1.155,2.94208,1.24949,0.0345786,0.000616357,0.000616357
3,607.488,1.19942,1.99983,1.19143,0.35543,0.38503,0.29916,0.1476,1.42748,4.43747,1.18447,0.00149016,0.000861229,0.000861229
4,780.657,1.15611,1.7065,1.17741,0.75699,0.6168,0.73085,0.5379,1.00043,1.54241,1.03019,0.00080002,0.00080002,0.00080002
5,987.21,1.0004,1.1266,1.04661,0.90354,0.67437,0.77757,0.57233,0.96748,1.12605,1.02352,0.00073336,0.00073336,0.00073336
6,1244.84,0.87377,0.90901,1.00685,0.90045,0.75944,0.8505,0.67474,0.8214,0.94329,0.9696,0.0006667,0.0006667,0.0006667
7,1522.95,0.80421,0.82046,0.97391,0.89587,0.80551,0.87892,0.694,0.78541,0.89411,0.95682,0.00060004,0.00060004,0.00060004
8,1723.29,0.75547,0.73578,0.9679,0.9453,0.81067,0.88512,0.73027,0.6803,0.74744,0.93033,0.00053338,0.00053338,0.00053338
9,1974.18,0.67746,0.63628,0.92514,0.95894,0.83919,0.89256,0.7545,0.66431,0.67821,0.91974,0.00046672,0.00046672,0.00046672
10,2208.8,0.61301,0.57819,0.89546,0.9834,0.85133,0.90925,0.78231,0.58995,0.62674,0.89883,0.00040006,0.00040006,0.00040006
11,2517.66,0.57075,0.52407,0.89297,0.97903,0.86373,0.91006,0.8007,0.56739,0.57568,0.8764,0.0003334,0.0003334,0.0003334
12,2725.98,0.54601,0.48841,0.87294,0.93895,0.90035,0.92086,0.80468,0.5389,0.53256,0.88246,0.00026674,0.00026674,0.00026674
13,2996.67,0.49475,0.45138,0.86083,0.97716,0.8808,0.92118,0.82997,0.48148,0.50647,0.85128,0.00020008,0.00020008,0.00020008
14,3192.15,0.45832,0.41182,0.84202,0.98326,0.90616,0.9315,0.84348,0.47041,0.46791,0.84746,0.00013342,0.00013342,0.00013342
15,3460,0.42368,0.37558,0.82541,0.98423,0.90591,0.9321,0.85447,0.43934,0.44944,0.83707,6.676e-05,6.676e-05,6.676e-05
